name;value
Moscow citizens;0.63
Think D. Medvedev works well;0.53
Income of more than 30 000 roubles;0.5
"Appreciate activity of political party ""United Russia""";0.5
18-30 years old;0.49
Citizens of Central Federal Area;0.45
